"ProductId","Image Url","Video Url","Product Desc","Origin Price","Discount Price","Discount","Currency","Commission Rate","Commission","Sales180Day","Positive Feedback","Promotion Url","Code Name","Code Start Time","Code End Time","Code Value","Code Quantity","Code Minimum Spend"
"1005003333023328","https://ae04.alicdn.com/kf/H3a1180e0c39d463f828c67b0feec842bf.jpg",,"Women's 3-color shimmer glitter eyeshadow palette makeup copper gray metallic smokey eyeliner eye shadow eyeshadow palette","USD 4.00","USD 4.00","0%","USD","10.0","USD 0.40","31","100.0%","https://s.click.aliexpress.com/e/_Dd1ctf9",,,,,,
"1005003327987229","https://ae04.alicdn.com/kf/S374826dc5d9d4ba3a112059611fbdd35v.jpg",,"New 6 Boxes With Eyeshadow Stick Sequin Gel Cream Sequin Highlight Tear Mole Stick Diamond Glitter Powder Glue-free Eye Makeup","USD 3.72","USD 2.60","30%","USD","7","USD 0.18","91","86.7%","https://s.click.aliexpress.com/e/_DFYBX9t",,,,,,
"1005004568161164","https://ae04.alicdn.com/kf/Scd8f315c73d14a918f40ad64f3cf33918.jpg",,"Red 4 PCS Eye Shadow White Goat Hair Synthetic Blending Brush Detail Concealer Blend Cosmetic Beauty Make Up Brush BETHY BEAUTY","USD 6.25","USD 5.62","10%","USD","7","USD 0.39","145","91.0%","https://s.click.aliexpress.com/e/_DFYZkJZ",,,,,,
"4001290340175","https://ae04.alicdn.com/kf/H25371d8999524dc788679e72026bd7d61.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/1100017235017.mp4","Brand Makeup tools Foundation Pump Suitable for fit-me Liquid Foundation black or gold pump without liquid foundation","USD 0.95","USD 0.95","0%","USD","7","USD 0.07","43","100.0%","https://s.click.aliexpress.com/e/_DDT1KwB",,,,,,
"33030583826","https://ae04.alicdn.com/kf/H9ad88e9746ad48bd8ca630f2d42430b0j.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/272778964711.mp4","MAANGE Pro 5-20Pcs Makeup Brushes Set Multifunctional Brush Powder Eyeshadow Make Up Brush With Portable PU Case Beauty Tools","USD 9.11","USD 5.28","42%","USD","7","USD 0.37","40","92.0%","https://s.click.aliexpress.com/e/_DmoNVlh",,,,,,
"1005004723415826","https://ae04.alicdn.com/kf/Se3a62f040396468595443c47f3514d821.jpg",,"1 PCS Eyelash Curler Cosmetic False Eyelash Curler Curling Tool Lashes Lift Tool Mink Eyelashes Curler Multicolor Makeup Tools","USD 2.39","USD 1.86","22%","USD","7","USD 0.13","46","100.0%","https://s.click.aliexpress.com/e/_DFh4p1h",,,,,,
"1005002533990356","https://ae04.alicdn.com/kf/Hdd2857c952374c1d9a1d80aa13561f58B.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/306852921044.mp4","Makeup Mirror With Light Lamp With Storage Desktop Rotating Cosmetic Mirror Light Adjustable Dimming USB  Vanity Mirror","USD 27.98","USD 16.79","40%","USD","8.0","USD 1.34","974","91.2%","https://s.click.aliexpress.com/e/_DkIQFmb",,,,,,
"1005004331895650","https://ae04.alicdn.com/kf/Se6086a964f8949f4856785ed446fe2d5M.jpg",,"10Pcs Reusable Cotton Pads Washable Wipes Makeup Remover Pad Facial Cleaning swabs Face Skin Cleaner Beauty Tool for Women","USD 1.41","USD 1.03","27%","USD","7","USD 0.07","32","96.0%","https://s.click.aliexpress.com/e/_Dnc5yUT",,,,,,
"1005003161348412","https://ae04.alicdn.com/kf/Sf02f4f67b85d4b2caf5a5f0e2cd900a4A.jpg",,"Makeup Sponge Cosmetic Puff Powder Smooth Makeup Foundation Sponge Beauty Make Up Tools Water Drop Shape Wholesale","USD 3.96","USD 2.34","41%","USD","7","USD 0.16","552","95.8%","https://s.click.aliexpress.com/e/_DB1sprz",,,,,,
"1005004309452430","https://ae04.alicdn.com/kf/Sb36085ecf7b24ff698e6dc2119645d720.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/1100049965195.mp4","Large Size Powder Brush Professional Makeup Brushes Black Multifunctional Foundation Blush Sculpting Bronzer Brush Make Up Tools","USD 5.14","USD 3.34","35%","USD","7","USD 0.23","874","96.2%","https://s.click.aliexpress.com/e/_DFHYiHH",,,,,,
