"ProductId","Image Url","Video Url","Product Desc","Origin Price","Discount Price","Discount","Currency","Commission Rate","Commission","Sales180Day","Positive Feedback","Promotion Url","Code Name","Code Start Time","Code End Time","Code Value","Code Quantity","Code Minimum Spend"
"4001184504044","https://ae04.alicdn.com/kf/Heff0210b949f4b1496a324d5477a2f20m.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/272780380507.mp4","Makeup Face Foundation 2 color  BB Cream Small Gold Tube Concealer  Waterproof Make Up Base Cosmetic for All Skin Types TSLM1","USD 5.94","USD 4.34","27%","USD","8.0","USD 0.35","57","100.0%","https://s.click.aliexpress.com/e/_DnaZOxZ",,,,,,
"1005001622658558","https://ae04.alicdn.com/kf/S187c931f7bbe4c0da6f2bf879c64fd42E.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/284137199471.mp4","BEILI Black 15-25 pcs Makeup Brushes Set Professional Goat Hair Foundation Powder Blush Eyebrow Eyeshadow Make up Brush Tools","USD 21.60","USD 11.66","46%","USD","7","USD 0.82","20","100.0%","https://s.click.aliexpress.com/e/_DFsphXH",,,,,,
"1005004517764683","https://ae04.alicdn.com/kf/S25ea938c36f345e880d92842b464a801u.jpg",,"Face Contour Concealer Liquid Waterproof Full Coverage Foundation Corrector Palette Base Professional Makeup For Dark Skin B4W0","USD 0.57","USD 0.34","40%","USD","7","USD 0.02","50","90.0%","https://s.click.aliexpress.com/e/_DDRx8BZ",,,,,,
"1005002995971292","https://ae04.alicdn.com/kf/Hcdceb5de1fa547799484292dfcb5b2a4s.jpg",,"Pro-Makeup Base Primer Matte Oil Control Liquid Foundation Light Thin Moisturizing Cream Long-Lasting Hydration Fix Face Lotion","USD 11.11","USD 8.89","20%","USD","7","USD 0.62","40","96.0%","https://s.click.aliexpress.com/e/_DFJS2wf",,,,,,
"1005003151323578","https://ae04.alicdn.com/kf/S8e7fe923eddd467eaaccee593e8d9f776.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/325398382166.mp4","LOYBJ Concealer Makeup Brush Finger Belly Head Dark Circles Concealer Brush Cosmetic Liquid Foundation Face Detail Beauty Tool","USD 5.95","USD 3.57","40%","USD","7","USD 0.25","790","96.6%","https://s.click.aliexpress.com/e/_DdUzglV",,,,,,
"4000840468391","https://ae04.alicdn.com/kf/H73f1f2135f8a4185b007aa5c04544edae.jpg",,"SAIANTTH 7pcs 12pcs gold metal makeup brushes set professional cosmetic tool goat hair long foundation blush eyeshadow eyebrow","USD 6.32","USD 4.68","26%","USD","7","USD 0.33","34","100.0%","https://s.click.aliexpress.com/e/_DEg9OhH",,,,,,
"4000061457748","https://ae04.alicdn.com/kf/S9c3371a999254b6e9533b992a9021c80t.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/270419096097.mp4","7pcs Makeup Brushes Set Beauty Makeup Brush тени для век Cosmetics Pincel Blush Foundation Eyeshadow Concealer кисти для макияжа","USD 15.68","USD 7.84","50%","USD","20.0","USD 1.57","77","100.0%","https://s.click.aliexpress.com/e/_DeIrTeL",,,,,,
"4000087246797","https://ae04.alicdn.com/kf/H5abce9d211cd4d10be82fcb236f852c5b.jpg",,"Face Painting Kit Body Face Paint with 14 Colors 2 Glitters 2 Brushes 4 Sponges 9 Stencils for Halloween Cosplay Party Makeup","USD 20.20","USD 11.11","45%","USD","8.0","USD 0.89","31","82.2%","https://s.click.aliexpress.com/e/_DFMSCiJ",,,,,,
"33036648776","https://ae04.alicdn.com/kf/H6938d44b50e24478a1b7ea5fb1716bd3a.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/237287696092.mp4","Sexy Women Liquid Lipstick Waterproof Long Lasting Moist Lip Gloss Tint Colorful Lipgloss Women Makeup maquiagem","USD 1.50","USD 1.35","10%","USD","8.0","USD 0.11","143","85.5%","https://s.click.aliexpress.com/e/_Dkyd2Er",,,,,,
"4000894539179","https://ae04.alicdn.com/kf/H15007cea012e493bacbc6349b1a55569e.jpg",,"1Pc Face & Nose Shadow Highlighting Stick Double-Head Light & Shadow Fixing Stick Concealer Corrector Lazy Beginner Makeup","USD 2.31","USD 1.85","20%","USD","8.0","USD 0.15","24","90.0%","https://s.click.aliexpress.com/e/_DdLBUxh",,,,,,
